question,a,b,c,d,e,answer,split
다음을 보고 무엇에 대한 내용인지 알맞은 것을 고르십시오.  ### 참고: 디자인 ★★★★☆ 품질 ★★★★★ 배송 ★☆☆☆☆ 가격 ★★★★★카드 할인 받아서 5만 원 정도에 구입했어요. 흰색이어서 깔끔하고 좋습니다. 소음도거의 없어서 아주 좋아요. 다만 배송은 조금 느린 편이었어요. 그것 빼곤 아주 만족합니다.,사용 후기,할인 정보,주문 내역,상품 광고,,a,RC
다음의 문장들을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 요즈음 눈병이 유행이다.(나) 깨끗이 씻는 것 못지않게 손을 눈에 대지 않는 것도 중요하다.(다) 눈병에 걸리지 않으려면 손을 자주 씻어야 한다.(라) 특히 외출하고 집에 돌아온 후에는 비누로 깨끗이 씻어야 한다.,(가)-(나)-(다)-(라),(나)-(라)-(가)-(다),(가)-(다)-(라)-(나),(나)-(다)-(가)-(가),,c,RC
다음의 문장들을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 그런데 모든 차가 다 건강에 좋은 것은 아니다.(나) 건강을 위해서 차를 마시는 사람들이 있다. (다) 건강에 좋다고 무조건 아무 차나 마시기보다는 나에게 맞는 차를 알고 마셔야 한다.(라) 오히려 자기에게 맞지 않는 차를 계속 마시다가 건강에 문제가 생길 수도 있기 때문이다.,(나)-(가)-(라)-(다),(나)-(다)-(라)-(가),(다)-(라)-(가)-(나),(다)-(라)-(나)-(가),,a,RC
다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: (가) 그렇다면 한국에서 지켜야 할 예절에는 어떤 것들이 있을까? (나) 또한 식사할 때 식탁에서 코를 푸는 것은 예의가 아니므로 주의해야 한다. (다) ‘로마에 가면 로마의 법을 따라야 한다.’는 말처럼 나라마다 지켜야 할 예절이 다르다.(라) 한국에서는 처음 만난 사람이나 잘 모르는 사람이 자기보다 어리더라도 높임말을 사용해야 한다.,(가)-(라)-(나)-(다),(가)-(다)-(나)-(라),(다)-(가)-(나)-(라),(다)-(가)-(라)-(나),,d,RC
"다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: 시 네 마 월 드평일 영화 3천원 할인권사용 기간 201X.2.12(화) ~ 2.28(목)사용 극장 시네마 월드 서울점, 시네마 월드 부산점(시네마 월드 제주점 제외)* 평일(월~금)에만 사용할 수 있습니다.",이 할인권은 2월까지만 사용할 수 있다.,"이 할인권이 있으면 영화를 3,000원에 볼 수 있다.",이 할인권은 시네마 월드 모든 극장에서 사용할 수 있다.,이 할인권이 있으면 주말에도 영화를 싼 값에 볼 수 있다.,,a,RC
다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: < 경주 호텔 수영장 사용 안내 >수영장 최대 깊이 2m1. 호텔에 숙박하시는 분만 이용할 수 있음.2. 12세 이하의 모든 어린이들은 성인과 같이 들어가야 함.3. 동물을 데리고 들어갈 수 없음.※ 개인 부주의로 인한 사고는 책임지지 않습니다. ※※ 문제 발생 시 탈의실 내 전화 9번을 누르십시오. ※※ 개인 부주의로 인한 사고는 책임지지 않습니다. ※※ 문제 발생 시 탈의실 내 전화 9번을 누르십시오. ※,정해진 장소에서만 다이빙을 할 수 있다.,예약에 문제가 있으면 전화 9번을 누른다.,호텔에 묵지 않더라도 수영장 이용은 가능하다.,12세 이하의 어린이는 꼭 어른과 같이 수영해야 한다.,,d,RC
다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: 쓰레기봉투 (20L)-일반용-1. 음식물 쓰레기는 이 봉투에 담아 버릴 수 없습니다.2. 생활 쓰레기는 이 봉투에 담아서 봉투의 입구를 묶은 후 버려야 합니다.3. 이 봉투를 사용하지 않고 쓰레기를 버리면 100만 원의 벌금을 내야 합니다.,봉투의 입구를 묶지 않고 버려도 된다.,이 봉투를 버릴 경우 벌금을 내야 한다.,음식물과 생활 쓰레기는 따로 버려야 한다.,동대문구 이외에서도 이 봉투를 사용할 수 있다.,,c,RC
"다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: 여자들이 남자보다 슬픈 감정을 더 잘 느끼는 것은 뇌의 활동 때문이다. 슬픈 상황에 접했을 때여자는 남자보다 여덟 배나 활발하게 뇌를 움직인다고 한다. 슬픔을 느끼고 눈물을 흘리는 것도 남녀 간에 차이를 보인다. 한 조사에 따르면 여자의 경우 한 달 동안 평균 5회 우는데 반해 남자는 남자답지 않다고 생각해 한 달 평균 1∼2회 우는 것으로 나타났다. 이것을 1년으로 보면 여자는 60번정도, 남자는 많아야 24번이니 여자가 두 배 이상 많이 우는 셈이다.",여자는 슬픈 일이 있으면 남자보다 뇌의 활동이 더 활발해진다.,남자가 우는 것은 남자답지 않다는 생각 때문에 참는 경우가 많다.,남자는 슬플 때 눈물을 참기 위해 여자보다 여덟 배 더 노력해야 한다.,여자가 1년 동안 우는 횟수는 남자가 우는 횟수와 두 배 이상 차이가 난다.,,c,RC
다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: 밖을 나가보면 우리말로 된 간판을 찾기가 쉽지 않다. 영어를 그대로 쓰거나 발음 나는 대로 적은간판들이 더 많아졌기 때문이다. 상인들은 이국적인 분위기를 만들기 위해 외래어 간판을 사용한다고 한다. 하지만 무슨 뜻인지 알 수 없는 경우가 많으며 오히려 거리가 개성을 잃어가고 있다고지적하는 이들도 적지 않다. 게다가 사람들은 더 이상 영어가 적힌 옷이나 영어 이름의 상품을 이상하게 생각하지 않는다. 세계적으로 인정받고 있는 한글이 우리의 일상생활에서는 대접받지 못하는 것이 안타깝다.,외래어로 된 간판이 우리말로 된 간판보다 더 많다.,영어로 된 간판이 많아지면서 거리가 개성을 잃고 있다.,외래어 간판을 사용하면 이국적인 분위기를 만들 수 있다.,일상생활에서 외래어 사용을 줄이고 한글을 사용해야 한다.,,d,RC
다음을 읽고 중심 생각을 고르십시오.  ### 참고: 최근 정부는 흡연율을 줄이기 위해 금연구역을 확대해 나가고 있다. 그 결과 금연구역 확대로 담배를 피우지 않는 사람들은 보호받게 되었지만 담배를 피우는 사람들의 권리는 점점 줄어들고 있다. 우리나라 성인 남성 중 60% 정도가 담배를 피우는데 흡연 장소가 마련되어 있지 않은 상태에서 금연구역만을 확대하기 때문에 이들의 불만이 커지고 있는 것이다. 진정한 금연 문화를 추진하려면 어느 정도의 흡연구역을 마련해 주어야 할 것이다.,금연구역보다 흡연구역 마련이 더 급하다.,흡연자를 위해 금연구역을 확대하면 안 된다.,담배를 피우는 사람들에 대한 배려도 필요하다.,금연구역이 확대될수록 흡연율이 감소할 것이다.,,c,RC
다음을 읽고 중심 생각을 고르십시오.  ### 참고: 애완동물이 주인의 혈압을 낮춰주고 정서적인 면에서도 도움을 준다는 사실은 다양한 연구를 통해 증명되었다. 그런데 애완동물이 업무 스트레스를 줄이는 데에도 도움이 될까? 이에 대해 애완견과 함께 출근할 수 있는 한 회사를 대상으로 조사를 하였다. 이 연구 결과에 따르면 애완견 없이 출근한 직원들은 업무 후에 스트레스가 70%나 증가한 데 반해 애완견을 데리고 출근한 직원들의 스트레스는 오히려 11%나 감소했다고 한다. 그뿐만 아니라 이 회사의 직원 전체 업무 만족도는 다른회사보다 높은 것으로 나타났다.,애완동물은 정서 안정에 도움을 준다.,애완동물은 업무 스트레스를 감소시킨다.,애완동물이 혈압의 치료에 효과가 있다는 것이 증명되었다.,직원의 업무 만족도를 높이기 위해 애완동물과 같이 출근해야 한다.,,b,RC
"다음을 읽고 중심 생각을 고르십시오.  ### 참고: 엘리베이터 정기 점검 안내미래 엘리베이터㈜에서 6월 엘리베이터 정기 점검을 아래 일정에 따라 실시하오니 조금불편하시더라도 협조해 주시기 바랍니다.― 아 래 ―날짜동시간비고101동, 102동, 103동 10:00 ~ 18:00104동, 105동, 106동 10:00 ~ 18:00엘리베이터 1대당 약 1시간 ~ 2시간 정도 시간이 걸림※ 일정은 현장 사정에 따라 변경될 수 있습니다.201X. 5. 25.한국아파트 관리사무소",엘리베이터가 왜 이렇게 자주 고장이 나는 거야?,엘리베이터를 날마다 두 시간씩 사용 못하는 거야?,19층에 사는 나는 어쩌라고 이틀씩이나 점검을 하지?,102동은 월요일이니까 월요일엔 10시 전에 나가야겠군.,,d,RC
다음을 읽은 사람의 반응으로 가장 적절한 것을 고르십시오.  ### 참고: • 땀으로 인한 얼룩은 샴푸를 풀어 물빨래를 하면 쉽게 지워진다.• 옷에 커피를 쏟았을 때에는 마른 수건에 사이다를 묻혀 눌러주면 커피 얼룩이 빠진다. 오래된 커피 얼룩은 주방세제와 식초를 1:1 비율로 섞은 뒤 칫솔로 문질러 준 다음 빨면 된다. • 옷에 묻은 피는 차가운 물로 잘 비벼서 빨아야 한다. 뜨거운 물은 오히려 세탁을 어렵게 한다.• 김칫국이 묻었다면 얼룩에 주방용 세제를 바른 후 따뜻한 물에 헹궈야 한다. 김칫국이 묻은 채로오랜 시간이 지나면 얼룩을 지우기가 어렵다.,피 묻은 옷은 뜨거운 물로 빨아야겠다.,"사이다로 김칫국을 뺄 수도 있다니, 놀랍군.",땀 때문에 생긴 얼룩은 물빨래를 하면 안 되나 봐.,식초를 이용하면 오래된 커피 얼룩도 뺄 수 있구나.,,d,RC
"다음을 읽은 사람의 반응으로 가장 적절한 것을 고르십시오.  ### 참고: 줄넘기는 다이어트 효과가 뛰어난 운동이다. 줄넘기는 제자리에서 가볍게 뛰는 것처럼 보이지만몸 전체를 움직이는 운동이라서 골고루 살을 빼 준다. 또한 줄넘기를 꾸준히 하면 쉽게 빠지지 않는 부분의 살도 뺄 수 있다. 그렇지만 줄넘기를 많이 한다고 효과가 있는 것은 아니다. 줄넘기를 하기 전에 준비운동을 하고, 운동을 마친 후에도 정리운동을 해야 효과가 커진다. 준비운동으로는 빨리 걷기나 체조, 가벼운 달리기 등이 좋다. 줄넘기는이 중요하다.",많이 하는 것,빨리 하는 것,가볍게 하는 것,꾸준히 하는 것,,d,RC
"다음을 읽고 <빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 옛날부터 “까치가 울면 반가운 손님이 온다.”라고 했다. 아침에 집 앞의 나무 꼭대기에서 까치가울면 손님이 오는 경우가 많다. 그렇다면 까치는 손님이 온다는 것을 정말 미리 아는 것일까? 까치를 길러 보면 까치가 사람을 잘 따르고, 아무 것이나 잘 먹고, 자주 만나는 사람을 잘 알아본다는것을 알 수 있다. 낯익은 사람을 보면 울지 않고, 낯선 사람이 나타나면 우는 것이 마치 개와도 같다. 까치에게는 손님이 온다는 것을 미리 알 수 있는 특별한 능력이 있는 것이 아니라 오히려 <빈칸>우는 것일 뿐이다.",손님이 오는 것이 반가워서,손님을 알아보고 인사하려고,손님을 먼저 보고 낯이 설어서,손님이 오는 것을 알려 주려고,,c,RC
이 글을 쓴 이유로 알맞은 것을 고르십시오.   ### 참고: 설거지를 따로 하지 않아도 되는 접시가 등장했다. 이 접시는 열 장의 종이로 되어 있어 사용 후종이를 한 장만 벗기면 설거지가 끝난다. 설거지가 귀찮은 이들에게 반가운 소식이 아닐 수 없다. 이 접시를 사용하면 물과 세제를 쓰며 설거지하지 않아도 간단하고 빠르게 접시를 다시 사용할 수있어 물을 절약할 수 있다. 무엇보다 야외에서 편리하게 사용할 수 있을 것으로 보인다. 또한 친환경 재료로 만들어져 있어 물에 녹아 없어지기 때문에 환경을 해치지 않으며 다른 일회용 그릇보다부피가 작아 쓰레기의 양을 줄일 수 있다는 장점도 가지고 있다.,신제품을 소개하려고,재활용의 장점을 설명하려고,환경보호의 중요성을 강조하려고,쓰레기를 줄일 수 있는 방법을 알리려고,,a,RC
이 접시의 장점이 아닌 것을 고르십시오.   ### 참고: 설거지를 따로 하지 않아도 되는 접시가 등장했다. 이 접시는 열 장의 종이로 되어 있어 사용 후종이를 한 장만 벗기면 설거지가 끝난다. 설거지가 귀찮은 이들에게 반가운 소식이 아닐 수 없다. 이 접시를 사용하면 물과 세제를 쓰며 설거지하지 않아도 간단하고 빠르게 접시를 다시 사용할 수있어 물을 절약할 수 있다. 무엇보다 야외에서 편리하게 사용할 수 있을 것으로 보인다. 또한 친환경 재료로 만들어져 있어 물에 녹아 없어지기 때문에 환경을 해치지 않으며 다른 일회용 그릇보다부피가 작아 쓰레기의 양을 줄일 수 있다는 장점도 가지고 있다.,환경을 오염시키지 않는 친환경 제품이다.,설거지를 하지 않고도 다시 사용할 수 있다.,일회용품이라서 야외에서 사용하기에 간편하다.,물과 세제를 사용하지 않으므로 환경 보호에 도움이 된다.,,c,RC
"무엇에 대한 글인지 알맞은 것을 고르십시오.   ### 참고: 자전거 사고의 사망자 중 70~80%는 뇌손상이 원인인 것으로 밝혀졌다. 그 중 헬멧을 착용하지않은 경우가 가장 많다. 자전거 헬멧은 자동차의 안전벨트와 같아서 생명과 연결되므로 반드시 착용해야 한다. 헬멧을 착용할 때에는 헬멧이 너무 크거나 작아서 머리에 맞지 않는 것은 피해야 하고 이마를 덮어주도록 해야 한다. 사고 시 헬멧이 벗겨질 수도 있으므로 헬멧 안에 모자나 머리띠, 헤드폰 등을 착용해서는 안 된다. 그리고 자전거 헬멧은 사고가 났을 때 깨지면서 충격을 흡수하도록 되어 있으므로 충격을 받은 헬멧은 다시 사용하지 말아야 한다. 겉으로는 보이지 않아도 안쪽이부서지면 헬멧의 보호 능력이 떨어지기 때문이다.",자전거 사고의 원인,자전거 헬멧의 구입 요령,자전거 사고 시 대처 방안,자전거 헬멧의 올바른 착용 방법,,d,RC
"이 글의 내용과 같은 것을 고르십시오.  ### 참고: 자전거 사고의 사망자 중 70~80%는 뇌손상이 원인인 것으로 밝혀졌다. 그 중 헬멧을 착용하지않은 경우가 가장 많다. 자전거 헬멧은 자동차의 안전벨트와 같아서 생명과 연결되므로 반드시 착용해야 한다. 헬멧을 착용할 때에는 헬멧이 너무 크거나 작아서 머리에 맞지 않는 것은 피해야 하고 이마를 덮어주도록 해야 한다. 사고 시 헬멧이 벗겨질 수도 있으므로 헬멧 안에 모자나 머리띠, 헤드폰 등을 착용해서는 안 된다. 그리고 자전거 헬멧은 사고가 났을 때 깨지면서 충격을 흡수하도록 되어 있으므로 충격을 받은 헬멧은 다시 사용하지 말아야 한다. 겉으로는 보이지 않아도 안쪽이부서지면 헬멧의 보호 능력이 떨어지기 때문이다.",자전거 헬멧이 안 맞아서 크면 모자 위에 쓰면 된다.,자전거 헬멧을 쓰면 사고가 났을 때 사망률이 70%로 줄어든다.,자전거 헬멧의 보호 능력은 한 번 충격을 받아도 큰 차이가 없다.,겉으로 봤을 때 부서지지 않았더라도 헬멧을 그냥 사용하면 안 된다.,,d,RC
"이 글의 제목으로 알맞은 것을 고르십시오.  ### 참고: 한옥과 아파트는 문이 열리는 방향에 큰 차이가 있다. 한옥의 대문은 바깥으로 열리는 게 아니라밖에서 밀면서 집안으로 들어가게 되어 있다. 반대로 아파트의 경우는 안에서 문을 밀고 밖으로 나가야 한다. (    가 ) 즉, 한옥은 집안으로 들어오기가 쉬운 구조이고 아파트는 집밖으로 나가기가더 쉬운 구조이다. (    나 ) 여기에서 집안과 집밖 중 어느 곳을 더 중요하게 생각하는지가 드러난다. (    다 ) 한옥은 대문을 당겨 주인이 한 발짝 물러서서 손님을 맞아들이지만 아파트는 집주인이 손님을 확인하면 문을 밀어서 열어야 하므로 손님이 한 발짝 뒤로 물러서야 한다. (    라 )",한옥과 아파트의 공통점과 차이점,주거 형태에 따른 손님 접대 방법,아파트 구조를 통해 본 한국인의 생활,대문이 열리는 방향에 나타난 사고방식,,d,RC
"다음의 문장이 들어갈 알맞은 곳을 고르십시오.   ### 참고: 한옥과 아파트는 문이 열리는 방향에 큰 차이가 있다. 한옥의 대문은 바깥으로 열리는 게 아니라밖에서 밀면서 집안으로 들어가게 되어 있다. 반대로 아파트의 경우는 안에서 문을 밀고 밖으로 나가야 한다. (    가 ) 즉, 한옥은 집안으로 들어오기가 쉬운 구조이고 아파트는 집밖으로 나가기가더 쉬운 구조이다. (    나 ) 여기에서 집안과 집밖 중 어느 곳을 더 중요하게 생각하는지가 드러난다. (    다 ) 한옥은 대문을 당겨 주인이 한 발짝 물러서서 손님을 맞아들이지만 아파트는 집주인이 손님을 확인하면 문을 밀어서 열어야 하므로 손님이 한 발짝 뒤로 물러서야 한다. (    라 )",(가),(나),(다),(라),,c,RC
이 글을 읽고 ㉠에 어울리는 속담을 고르십시오.  ### 참고: 지난 주말에 통영으로 아주 짧은 여행을 다녀왔다. 통영은 서울에서 버스로 4시간 정도 걸리는작은 도시인데 아름다운 섬과 풍부한 먹을거리가 있어 언제나 여행객들이 넘치는 곳이다. 나는 통영에 도착하자마자㉠이라고 맛있는 음식을 먹기 위해 바닷가 근처 시장부터 들렀다. 그곳에서 유명하다는 ‘멍게 비빔밥’을 먹었는데 내 입맛에는 맞지 않았지만 이른 아침 활기 넘치는시장에서 식사를 하는 기분이 색달랐다. 식사를 마친 후에는 ‘한국의 몽마르뜨’라고 불리는 ‘동피랑’에 갔다. 벽에 아름다운 그림이 그려져 있었는데 유명한 곳이라서 그런지 사진을 찍으려고 줄을 서있는 사람들이 많이 있었다. 근처의 ‘소매물도’에도 가보고 싶고 ‘미륵산’ 꼭대기에 올라 통영의 야경도 감상하고 싶었지만 일 때문에 서울로 돌아와야 했다. 그래서일까? ㉡돌아오는 발걸음이 무거웠다.,그림의 떡,꿩 대신 닭,가는 날이 장날,금강산도 식후경,,d,RC
㉡의 의미로 알맞은 것을 고르십시오.  ### 참고: 지난 주말에 통영으로 아주 짧은 여행을 다녀왔다. 통영은 서울에서 버스로 4시간 정도 걸리는작은 도시인데 아름다운 섬과 풍부한 먹을거리가 있어 언제나 여행객들이 넘치는 곳이다. 나는 통영에 도착하자마자㉠이라고 맛있는 음식을 먹기 위해 바닷가 근처 시장부터 들렀다. 그곳에서 유명하다는 ‘멍게 비빔밥’을 먹었는데 내 입맛에는 맞지 않았지만 이른 아침 활기 넘치는시장에서 식사를 하는 기분이 색달랐다. 식사를 마친 후에는 ‘한국의 몽마르뜨’라고 불리는 ‘동피랑’에 갔다. 벽에 아름다운 그림이 그려져 있었는데 유명한 곳이라서 그런지 사진을 찍으려고 줄을 서있는 사람들이 많이 있었다. 근처의 ‘소매물도’에도 가보고 싶고 ‘미륵산’ 꼭대기에 올라 통영의 야경도 감상하고 싶었지만 일 때문에 서울로 돌아와야 했다. 그래서일까? ㉡돌아오는 발걸음이 무거웠다.,짐이 무거워 여행하기 힘들었다.,버스를 너무 오래 타서 피곤했다.,다리가 아파서 더 이상 걸을 수가 없었다.,아쉬움이 남아 서울로 돌아가고 싶지 않았다.,,d,RC
"이 글을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 우리는 함께 있을 때 편안함이 느껴지는 사람을 좋아하는 경향이 있다. 뛰어난 미모나 재능이있는 사람이 아니더라도 같이 있는 것 자체가 즐겁다면 그 사람을 자꾸 만나고 싶어질 것이다.(나) 그런데 최근 사회학자들은 친밀한 인간관계를 만드는 데 있어서 매우 중요한 원칙이 있다고하였다. 그것은 바로 '유사성의 원칙'인데 상대방과 비슷한 점이 많으면 많을수록 그 사람과 친해질 가능성이 높아진다는 것이다. (다) 그러면 같이 있을 때 편안하고 즐겁게 느껴지는 사람은 어떤 사람일까? 진지한 성격을 가진사람과 함께 있기를 좋아하는 사람도 있고, 명랑하고 유쾌한 성격의 사람과 함께 있기를 좋아하는 사람도 있을 것이다. (라) 우리가 모르는 사람과 처음 만났을 때 상대방에게 여러 가지 질문을 하게 되는 것도 공통점을찾기 위해서이다. 즉, 질문을 하는 것은 상대방과 친해지기 위한 과정인 것이다.",(가)-(나)-(다)-(라),(가)-(다)-(나)-(라),(라)-(가)-(나)-(다),(라)-(나)-(다)-(가),,b,RC
"이 글의 중심 생각을 고르십시오.   ### 참고: (가) 우리는 함께 있을 때 편안함이 느껴지는 사람을 좋아하는 경향이 있다. 뛰어난 미모나 재능이있는 사람이 아니더라도 같이 있는 것 자체가 즐겁다면 그 사람을 자꾸 만나고 싶어질 것이다.(나) 그런데 최근 사회학자들은 친밀한 인간관계를 만드는 데 있어서 매우 중요한 원칙이 있다고하였다. 그것은 바로 '유사성의 원칙'인데 상대방과 비슷한 점이 많으면 많을수록 그 사람과 친해질 가능성이 높아진다는 것이다. (다) 그러면 같이 있을 때 편안하고 즐겁게 느껴지는 사람은 어떤 사람일까? 진지한 성격을 가진사람과 함께 있기를 좋아하는 사람도 있고, 명랑하고 유쾌한 성격의 사람과 함께 있기를 좋아하는 사람도 있을 것이다. (라) 우리가 모르는 사람과 처음 만났을 때 상대방에게 여러 가지 질문을 하게 되는 것도 공통점을찾기 위해서이다. 즉, 질문을 하는 것은 상대방과 친해지기 위한 과정인 것이다.",누구나 편안함과 즐거움을 주는 사람을 좋아한다.,자신과 전혀 다른 성격의 사람에게 끌리는 경향이 있다.,사람들은 대체로 자신과 성향이 비슷한 사람을 좋아한다.,처음 만난 사람에게 질문을 하는 것은 친해지기 위해서이다.,,c,RC
"다음을 보고 무엇에 대한 내용인지 알맞은 것을 고르십시오.  ### 참고: ❖ 서론-본론-결론으로 구성 ❖ A4 용지 10장 이내로 작성❖ 신명조체, 글자 크기: 11, 줄 간격(행간): 160%",보고서의 형식,보고서의 주제,보고서의 내용,보고서의 평가,,a,RC
다음의 문장들을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 편지 대신 훨씬 빠르고 편리한 이메일을 사용한다.  (나) 정성껏 손으로 쓴 글씨가 마음을 움직이기 때문이다. (다) 요즘 편지를 쓰는 사람은 많지 않다.  (라) 하지만 때로는 편지가 그리울 때가 있다. ,(가)-(나)-(다)-(라),(가)-(라)-(나)-(다),(다)-(가)-(라)-(나),(다)-(라)-(가)-(나),,c,RC
"다음의 문장들을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 특히 결혼식이 더 많은 봄, 가을에는 더 서둘러야 한다.  (나) 한국 사람들은 주말 낮에 결혼식을 많이 한다.  (다) 그래서 주말에는 결혼식장을 구하는 것이 쉽지 않다. (라) 원하는 시간에 결혼을 하려면 6개월 전에는 예약하는 것이 좋다.",(나)-(다)-(라)-(가),(나)-(라)-(다)-(가),(라)-(가)-(다)-(나),(라)-(다)-(가)-(나),,a,RC
"다음의 문장들을 순서대로 맞게 배열한 것을 고르십시오.  ### 참고: (가) 우선 청소를 할 때에는 바깥에서부터 안쪽으로 들어오면서 하는 게 좋다.  (나) 그래서 베란다 청소를 제일 먼저 하고 방, 욕실, 주방 순으로 한다.  (다) 창문을 열면 바깥의 먼지가 안으로 들어오기 때문이다. (라) 효율적으로 청소를 하려면 요령이 있어야 한다. ",(가)-(라)-(나)-(다),(가)-(다)-(나)-(라),(라)-(가)-(다)-(나),(라)-(나)-(다)-(가),,c,RC
"다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: 쿠폰 10장을 모으시면 피자 1판을 무료로 드립니다.★ 단, 주문 시 미리 말씀해 주세요.본 쿠폰은 해당 매장에서만 이용 가능 포인트, 타 쿠폰 중복 사용 불가 주말은 사용 불가맛있는 피자 대학로점",이 쿠폰은 다른 쿠폰과 함께 사용할 수 있다.,이 쿠폰으로 토요일에 피자를 먹을 수 있다.,1등을 한 반에게는 상품으로 운동화를 준다.,등산을 가려면 다음 주 토요일까지 사무실에 가서 신청한다.,,c,RC
"다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: << 한국어교육원 등산대회 >>♣ 어디 : 계룡산 ♣ 언제 : 다음 주 토요일 오전 8시 ♣ 누구 : 한국어교육원 전 학생 및 교사, 사무실 직원 ♣ 8시에 학교 정문 앞에서 학교 버스로 출발합니다.  ♣ 김밥과 음료수는 사무실에서 준비합니다. ♣ 1등을 한 반에게는 푸짐한 상품을 드립니다.  ♣ 간편한 복장과 운동화를 준비하십시오. ♣ 가고 싶은 사람은 이번 주 금요일까지 사무실에 와서 직접 신청하시기 바랍니다.",교통편과 점심은 사무실에서 제공한다.,신청자는 8시까지 계룡산으로 가면 된다.,요즘 청소년들은 10년 전에 비해 직업에 대한 고민을 적게 한다.,가정환경에 대한 고민을 제외하고 나머지 고민의 비율이 더 낮아졌다.,,a,RC
"다음을 보고 내용과 같은 것을 고르십시오.  ### 참고: 장사에 성공하려면 가게의 위치를 어디에 잡는지가 매우 중요하다. 흔히 약국이나 편의점은 1층 에 많이 있는 데 반하여 병원이나 학원, PC방 등은 상가의 위층에 있는 경우가 많다. 이는 사람들 의 심리 상태와 관계가 있다고 한다. 예를 들어 더운 여름에 목이 말라 음료수를 먹고 싶은데 계단 을 힘들게 올라가고 싶은 사람이 있을까? 이런 이유 때문에 편의점이나 약국은 생각난 김에 바로 들를 수 있는 1층에 자리를 잡는 것이다. 반면에 정말 아프거나 무엇인가 배우고 싶거나, 게임을 하 고 싶은 목적이 있는 사람들은 그 위치가 2층이든 5층이든 상관없이 병원이나 학원, PC방을 찾는다.",병원이나 학원은 위층에 있는 경우가 많다.,PC방은 1층이 아니어도 사람들이 찾아간다.,편의점이나 약국은 어디에 있든지 상관이 없다.,가게의 위치는 사람들의 심리 상태와 관계가 있다.,,c,RC
"다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: 대학생 ‘나홀로족’이 늘어나고 있는 추세인 것으로 나타났다. ‘나홀로족’은 식사나 쇼핑, 여가활용등 일상생활을 나 혼자서 해결하는 사람들을 일컫는 말이다. 대학생을 대상으로 설문 조사를 실시한 결과 75%가 자신을 ‘나홀로족’이라고 밝혔다. 평소에 주로 혼자서 하는 것으로는 ‘도서관에서공부하기’(81.9%)가 가장 많았다. ‘수강신청 및 수업 듣기’(71.4%), ‘식사하기’(70.8%), ‘쇼핑하기’(69.9%), ‘극장에서 영화 보기’(30.4%) 등이 뒤를 이었다. 이들이 혼자 다니는 주된 이유는 ‘시간을 효율적으로 활용할 수 있어서’(46.7%)가 가장 많았으며, ‘혼자 다니는 것이 익숙하고 편해서’(36.1%) 순이었다. 그 외에 ‘혼자 다니는 것이 비용이 적게 들어서’(8.1%), ‘마음에 맞는 친구들이 없어서’(6.6%) 등의 이유도 있었다.",‘나홀로족’은 일상생활을 혼자서 보내는 사람들을 부르는 말이다.,"시간의 효율적 활용, 적은 비용 등의 이유로 ‘나홀로족’이 많아지고 있다.",대학생들이 보통 혼자서 가장 많이 하는 것은 도서관에서 공부하는 일이다.,대학생 ‘나홀로족’은 혼자서 밥을 먹는 것보다 혼자서 쇼핑하는 경우가 더 많다.,,d,RC
다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: 우리는 운동을 하면 살이 빠진다고 알고 있다. 그러나 불규칙적인 운동은 체중 감량에 오히려 역 효과를 준다고 한다. 운동을 하다가 쉬면 몸무게가 더 늘어날 수 있기 때문이다. 운동을 중단했을 때 불어난 체중을 줄이고 싶다면 예전과 같은 운동으로는 살을 뺄 수 없다. 더 높은 강도로 10배나 많은 땀을 흘려야 살이 빠진다. 살이 찌고 체중이 증가하는 원인은 운동을 하지 않아서가 아니라 충분하고도 지속적인 운동을 하지 않았기 때문이다.,운동을 하다가 쉬는 것이 건강에 도움이 된다.,살이 찌고 체중이 느는 이유는 불규칙적인 운동 때문이다.,체중을 감량하려면 규칙적으로 끝까지 하는 것이 더 중요하다.,운동을 한번 시작하면 다른 사람보다 10배 이상 운동을 해야 한다.,,d,RC
